Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,Unnamed: 6,Remarks
38,(Principal) No. Of Workers In The Enterprise,5.1,10,1,76,76.0,
39,(Principal)  Type Of Job Contract,5.1,11,1,77,77.0,
40,(Principal) Eligble Of Paid Leave,5.1,12,1,78,78.0,
41,(Principal) Social Security Benefits,5.1,13,1,79,79.0,
42,(Principal) Usage of product of the economic activity,5.1,14,1,80,80.0,
43,Status Code,5.2,3,2,81,82.0,
44,Industry Code (NIC),5.2,5,5,83,87.0,
45,Occupation Code (NCO),5.2,6,3,88,90.0,
46,(Subsidiary) location Of Workplace Code,5.2,7,2,91,92.0,
47,(Subsidiary)  Enterprise Type Code,5.2,8,2,93,94.0,
48,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,95,95.0,
49,(Subsidiary)   Type Of Job Contract,5.2,10,1,96,96.0,
50,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,97,97.0,
51,(Subsidiary)  Social Security Benefits,5.2,12,1,98,98.0,
52,(Subsidiary) Usage of product of the economic activity,5.2,13,1,99,99.0,
53,Ever Worked Prior to last 365 days,5.3,5,1,100,100.0,
54,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,101,101.0,
55,Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1,102,102.0,
56,Efforts undertaken to search work,5.3,8,1,103,103.0,
57,Duration of spell of Unemployment,5.3,9,1,104,104.0,
58,Whether Ever Worked ,5.3,10,1,105,105.0,
59, Reason for not working in last 365 days,5.3,11,2,106,107.0,
60,Main reason for being in Principal activity status (91 to 97) ,5.3,12,1,108,108.0,
61,Status Code for activity 1,6,4/3.1,2,109,110.0,
62,Industry Code (NIC) for activity 1,6,5/3.1,2,111,112.0,
63,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,113,114.0,
64,wage earning for activity 1 on 7 th day,6,9/3.1,5,115,119.0,
65,Status Code for activity 2,6,4/3.1,2,120,121.0,
66,Industry Code (NIC) for activity 2,6,5/3.1,2,122,123.0,
67,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,124,125.0,
68,wage earning for activity 2 on 7 th day,6,9/3.1,5,126,130.0,
69,total hours actually worked on 7th day,6,7/3.1,2,131,132.0,
70,hours available for aditional worked on 7th day,6,8/3.1,2,133,134.0,
71,Status Code for activity 1,6,4/3.2,2,135,136.0,
72,Industry Code (NIC) for activity 1,6,5/3.2,2,137,138.0,
73,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,139,140.0,
74,wage earning for activity 1 on 7 th day,6,9/3.2,5,141,145.0,
75,Status Code for activity 2,6,4/3.2,2,146,147.0,
76,Industry Code (NIC) for activity 2,6,5/3.2,2,148,149.0,
77,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,150,151.0,
78,wage earning for activity 2 on 6 th day,6,9/3.2,5,152,156.0,
79,total hours actually worked on 6th day,6,7/3.2,2,157,158.0,
80,hours available for aditional worked on 6th day,6,8/3.2,2,159,160.0,
81,Status Code for activity 1,6,4/3.3,2,161,162.0,
82,Industry Code (NIC) for activity 1,6,5/3.3,2,163,164.0,
83,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,165,166.0,
84,wage earning for activity 1 on 5 th day,6,9/3.3,5,167,171.0,
85,Status Code for activity 2,6,4/3.3,2,172,173.0,
86,Industry Code (NIC) for activity 2,6,5/3.3,2,174,175.0,
87,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,176,177.0,
88,wage earning for activity 2 on 5 th day,6,9/3.3,5,178,182.0,
89,total hours actually worked on 5th day,6,7/3.3,2,183,184.0,
90,hours available for aditional worked on 5th day,6,8/3.3,2,185,186.0,
91,Status Code for activity 1,6,4/3.4,2,187,188.0,
92,Industry Code (NIC) for activity 1,6,5/3.4,2,189,190.0,
93,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,191,192.0,
94,wage earning for activity 1 on 4th day,6,9/3.4,5,193,197.0,
95,Status Code for activity 2,6,4/3.4,2,198,199.0,
96,Industry Code (NIC) for activity 2,6,5/3.4,2,200,201.0,
97,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,202,203.0,
98,wage earning for activity 2 on 4th day,6,9/3.4,5,204,208.0,
99,total hours actually worked on 4th day,6,7/3.4,2,209,210.0,
100,hours available for aditional worked on 4th day,6,8/3.4,2,211,212.0,
101,Status Code for activity 1,6,4/3.5,2,213,214.0,
102,Industry Code (NIC) for activity 1,6,5/3.5,2,215,216.0,
103,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,217,218.0,
104,wage earning for activity 1 on 3rd day,6,9/3.5,5,219,223.0,
105,Status Code for activity 2,6,4/3.5,2,224,225.0,
106,Industry Code (NIC) for activity 2,6,5/3.5,2,226,227.0,
107,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,228,229.0,
108,wage earning for activity 2 on 3 rd day,6,9/3.5,5,230,234.0,
109,total hours actually worked on 3rd day,6,7/3.5,2,235,236.0,
110,hours available for aditional worked on 3rd day,6,8/3.5,2,237,238.0,
111,Status Code for activity 1,6,4/3.6,2,239,240.0,
112,Industry Code (NIC) for activity 1,6,5/3.6,2,241,242.0,
113,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,243,244.0,
114,wage earning for activity 1 on 2nd day,6,9/3.6,5,245,249.0,
115,Status Code for activity 2,6,4/3.6,2,250,251.0,
116,Industry Code (NIC) for activity 2,6,5/3.6,2,252,253.0,
117,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,254,255.0,
118,wage earning for activity 2 on 2nd day,6,9/3.6,5,256,260.0,
119,total hours actually worked on 2nd day,6,7/3.6,2,261,262.0,
120,hours available for aditional worked on 2nd day,6,8/3.6,2,263,264.0,
121,Status Code for activity 1,6,4/3.7,2,265,266.0,
122,Industry Code (NIC) for activity 1,6,5/3.7,2,267,268.0,
123,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,269,270.0,
124,wage earning for activity 1 on 1st day,6,9/3.7,5,271,275.0,
125,Status Code for activity 2,6,4/3.7,2,276,277.0,
126,Industry Code (NIC) for activity 2,6,5/3.7,2,278,279.0,
127,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,280,281.0,
128,wage earning for activity 2 on 1st day,6,9/3.7,5,282,286.0,
129,total hours actually worked on 1st day,6,7/3.7,2,287,288.0,
130,hours available for aditional worked on 1st day,6,8/3.7,2,289,290.0,
131,Current Weekly Status (CWS),6,5,2,291,292.0,
132,Industry Code (CWS),6,6,2,293,294.0,
133,Occupation Code (CWS),6,7,3,295,297.0,
134,Earnings For Regular Salaried/Wage Activity,6,9,8,298,305.0,
135,Earnings For Self Employed,6,10,8,306,313.0,
136,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,314,316.0,NSS
137,Ns count for sector x stratum x substratum,Generated,,3,317,319.0,NSC
138,Sub-sample wise Multiplier,Generated,,10,320,329.0,MULT
139,Count of contributing State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,330,330.0,No_Qtr
,,,,,,,
,,,,,,,
PLFS PERSON LEVEL DATA REVISIT) OF 2023-2024,,,,,,,
 File: PERRV.txt (PERSON LEVEL)             RECORD LENGTH: 275+1,,,,,,,
Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,,Remarks
1,File Identification,,,4,1,4.0,RVP7
2,Schdule,1,2,3,5,7.0,104
3,Quarter,,,2,8,9.0,Q1 to Q4
4,Visit,,,2,10,11.0,"V2' for second visit,' V3' for third visit & 'V4' for fourth visit"
5,Sector,1,3,1,12,12.0,
6,State/Ut Code,,,2,13,14.0,
7,District Code,1,4,2,15,16.0,
8,NSS-Region,1,4,3,17,19.0,
9,Stratum,1,5,2,20,21.0,
10,Sub-Stratum,1,6,2,22,23.0,
11,Sub-Sample,1,11,1,24,24.0,
12,Fod Sub-Region,1,12,4,25,28.0,
13,FSU,1,1,5,29,33.0,
14,Sample Sg/Sb No.,1,13,1,34,34.0,
15,Second Stage Stratum No.,1,14,1,35,35.0,
16,Sample Household Number,1,15,2,36,37.0,
17,Person Serial No.,4,1,2,38,39.0,
19,Relationship To Head,4,4,1,40,40.0,
20,Gender,4,5,1,41,41.0,
21,Age,4,6,3,42,44.0,
22,Marital Status,4,7,1,45,45.0,
23,General Educaion Level,4,8,2,46,47.0,
24,Technical Educaion Level,4,9,2,48,49.0,
25,No. of years in Formal Education,4,10,2,50,51.0,
26,Status of Current Attendance in Educational Institution,4,11,2,52,53.0,
27,Status Code for activity 1,6,4/3.1,2,54,55.0,
28,Industry Code (NIC) for activity 1,6,5/3.1,2,56,57.0,
29,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,58,59.0,
30,wage earning for activity 1 on 7 th day,6,9/3.1,5,60,64.0,
31,Status Code for activity 2,6,4/3.1,2,65,66.0,
32,Industry Code (NIC) for activity 2,6,5/3.1,2,67,68.0,
33,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,69,70.0,
34,wage earning for activity 2 on 7 th day,6,9/3.1,5,71,75.0,
35,total hours actually worked on 7th day,6,7/3.1,2,76,77.0,
36,hours available for aditional worked on 7th day,6,8/3.1,2,78,79.0,
37,Status Code for activity 1,6,4/3.2,2,80,81.0,
38,Industry Code (NIC) for activity 1,6,5/3.2,2,82,83.0,
39,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,84,85.0,
40,wage earning for activity 1 on 7 th day,6,9/3.2,5,86,90.0,
41,Status Code for activity 2,6,4/3.2,2,91,92.0,
42,Industry Code (NIC) for activity 2,6,5/3.2,2,93,94.0,
43,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,95,96.0,
44,wage earning for activity 2 on 6 th day,6,9/3.2,5,97,101.0,
45,total hours actually worked on 6th day,6,7/3.2,2,102,103.0,
46,hours available for aditional worked on 6th day,6,8/3.2,2,104,105.0,
47,Status Code for activity 1,6,4/3.3,2,106,107.0,
48,Industry Code (NIC) for activity 1,6,5/3.3,2,108,109.0,
49,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,110,111.0,
50,wage earning for activity 1 on 5 th day,6,9/3.3,5,112,116.0,
51,Status Code for activity 2,6,4/3.3,2,117,118.0,
52,Industry Code (NIC) for activity 2,6,5/3.3,2,119,120.0,
53,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,121,122.0,
54,wage earning for activity 2 on 5 th day,6,9/3.3,5,123,127.0,
55,total hours actually worked on 5th day,6,7/3.3,2,128,129.0,
56,hours available for aditional worked on 5th day,6,8/3.3,2,130,131.0,
57,Status Code for activity 1,6,4/3.4,2,132,133.0,
58,Industry Code (NIC) for activity 1,6,5/3.4,2,134,135.0,
59,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,136,137.0,
60,wage earning for activity 1 on 4th day,6,9/3.4,5,138,142.0,
61,Status Code for activity 2,6,4/3.4,2,143,144.0,
62,Industry Code (NIC) for activity 2,6,5/3.4,2,145,146.0,
63,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,147,148.0,
64,wage earning for activity 2 on 4th day,6,9/3.4,5,149,153.0,
65,total hours actually worked on 4th day,6,7/3.4,2,154,155.0,
66,hours available for aditional worked on 4th day,6,8/3.4,2,156,157.0,
67,Status Code for activity 1,6,4/3.5,2,158,159.0,
68,Industry Code (NIC) for activity 1,6,5/3.5,2,160,161.0,
69,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,162,163.0,
70,wage earning for activity 1 on 3rd day,6,9/3.5,5,164,168.0,
71,Status Code for activity 2,6,4/3.5,2,169,170.0,
72,Industry Code (NIC) for activity 2,6,5/3.5,2,171,172.0,
73,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,173,174.0,
74,wage earning for activity 2 on 3 rd day,6,9/3.5,5,175,179.0,
75,total hours actually worked on 3rd day,6,7/3.5,2,180,181.0,
76,hours available for aditional worked on 3rd day,6,8/3.5,2,182,183.0,
77,Status Code for activity 1,6,4/3.6,2,184,185.0,
78,Industry Code (NIC) for activity 1,6,5/3.6,2,186,187.0,
79,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,188,189.0,
80,wage earning for activity 1 on 2nd day,6,9/3.6,5,190,194.0,
81,Status Code for activity 2,6,4/3.6,2,195,196.0,
82,Industry Code (NIC) for activity 2,6,5/3.6,2,197,198.0,
83,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,199,200.0,
84,wage earning for activity 2 on 2nd day,6,9/3.6,5,201,205.0,
85,total hours actually worked on 2nd day,6,7/3.6,2,206,207.0,
86,hours available for aditional worked on 2nd day,6,8/3.6,2,208,209.0,
87,Status Code for activity 1,6,4/3.7,2,210,211.0,
88,Industry Code (NIC) for activity 1,6,5/3.7,2,212,213.0,
89,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,214,215.0,
90,wage earning for activity 1 on 1st day,6,9/3.7,5,216,220.0,
91,Status Code for activity 2,6,4/3.7,2,221,222.0,
92,Industry Code (NIC) for activity 2,6,5/3.7,2,223,224.0,
93,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,225,226.0,
94,wage earning for activity 2 on 1st day,6,9/3.7,5,227,231.0,
95,total hours actually worked on 1st day,6,7/3.7,2,232,233.0,
96,hours available for aditional worked on 1st day,6,8/3.7,2,234,235.0,
97,Current Weekly Status (CWS),6,5,2,236,237.0,
98,Industry Code (CWS),6,6,2,238,239.0,
99,Occupation Code (CWS),6,7,3,240,242.0,
100,Earnings For Regular Salarid/Wage Activity,6,9,8,243,250.0,
101,Earnings For Self Employed,6,10,8,251,258.0,
102,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,259,261.0,NSS
103,Ns count for sector x stratum x substratum,Generated,,3,262,264.0,NSC
104,Sub-sample wise Multiplier,Generated,,10,265,274.0,MULT
105,Count of contributing State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,275,275.0,No_Qtr
